,latt dis(average displacement),elastic mismatch,RMS SRO,mixing energy,binding energy,G_aver,screw,edge,divide,Screw/G,edge/G
Nb80TaVWr,0.072,0.702,0,-0.031,-16.364,67.816,1572.4,1411.4,1.114,23.186,20.812
Nb120TaVWr,0.071,0.698,0,-0.021,-16.292,63.633,1493,1047.3,1.425,23.462,16.459
Nb150TaVWr,0.073,0.692,0,-0.016,-16.085,60.984,1374.2,1001.7,1.372,22.534,16.425
MoTaV50W,0.062,0.679,0.472,-0.204,-19.965,101.6,2170.1,1118.9,1.939,21.359,11.013
MoTaV80W,0.073,0.758,0.484,-0.193,-19.783,95.508,2044.6,1066.3,1.918,21.408,11.164
MoTaV120W,0.085,0.825,0.489,-0.178,-19.42,88.739,1790.9,1145.7,1.563,20.182,12.911
MoTaV150W,0.092,0.856,0.489,-0.166,-18.965,84.453,1829.4,1257.4,1.455,21.662,14.889
MoTaV50Wr,0.05,0.527,0,-0.129,-16.865,101.6,1772.9,931.7,1.903,17.45,9.171
MoTaV80Wr,0.06,0.59,0,-0.124,-16.91,95.508,1617,1239.4,1.305,16.93,12.977
MoTaV120Wr,0.063,0.65,0,-0.117,-16.692,88.739,1657.3,1267.8,1.307,18.676,14.287
MoTaV150Wr,0.066,0.682,0,-0.112,-16.42,84.453,1690.9,1066.9,1.585,20.021,12.633
MoNbTaV70,0.092,0.751,0.384,-0.149,-18.268,61.507,1828.8,988.3,1.85,29.732,16.068
MoNbTaV90,0.126,0.74,0.379,-0.137,-18.018,59.606,1637.8,1138.5,1.439,27.476,19.1
MoNbTaV110,0.126,0.727,0.376,-0.125,-17.684,57.891,1762.8,1284.5,1.372,30.451,22.188
MoNbTaV130,0.116,0.714,0.381,-0.116,-17.425,56.335,1570.1,1032.7,1.52,27.872,18.332
MoNbTaV70r,0.076,0.61,0,-0.097,-15.672,61.507,1393.9,926.5,1.505,22.663,15.063
MoNbTaV90r,0.084,0.609,0,-0.089,-15.665,59.606,1386.1,1041.6,1.331,23.254,17.474
MoNbTaV110r,0.082,0.607,0,-0.082,-15.587,57.891,1570.2,1002.4,1.566,27.123,17.315
MoNbTaV130r,0.086,0.612,0,-0.077,-15.466,56.335,1339.6,1016.5,1.318,23.779,18.044
